data,tipo,categoria,centro_custo,forma_pagamento,valor,saldo_acumulado
2020-01-18,Entrada,Vendas,Comercial,Cartão,3178.16,-31927.0
2020-01-18,Entrada,Vendas,Administrativo,Transferência,3479.65,-28447.34
2020-01-18,Saída,Vendas,Comercial,Transferência,-1036.01,-29483.35
2020-01-18,Saída,Salários,Operacional,Transferência,-2321.67,-31805.02
2020-01-19,Entrada,Vendas,RH,Transferência,2449.39,-29355.63
2020-01-19,Saída,Salários,Operacional,Pix,-3351.03,-32706.66
2020-01-19,Entrada,Impostos,Administrativo,Pix,862.95,-31843.72
2020-01-20,Entrada,Marketing,Operacional,Transferência,1328.1,-30515.62
2020-01-20,Saída,Salários,Comercial,Boleto,-3013.64,-33529.26
2020-01-21,Saída,Impostos,Comercial,Pix,-1310.24,-34839.5
2020-01-21,Saída,Vendas,Administrativo,Pix,-600.46,-35439.96
2020-01-21,Entrada,Vendas,Administrativo,Cartão,3703.73,-31736.23
2020-01-21,Entrada,Marketing,RH,Transferência,1157.32,-30578.91
2020-01-22,Saída,Marketing,Administrativo,Cartão,-1020.49,-31599.4
2020-01-22,Saída,Salários,Comercial,Transferência,-2744.41,-34343.81
2020-01-22,Saída,Salários,RH,Pix,-1930.03,-36273.84
2020-01-22,Entrada,Vendas,Administrativo,Cartão,3891.27,-32382.57
2020-01-23,Entrada,Vendas,Administrativo,Cartão,4701.11,-27681.46
2020-01-23,Saída,Impostos,Operacional,Boleto,-858.71,-28540.16
2020-01-23,Entrada,Marketing,Comercial,Boleto,1840.61,-26699.55
2020-01-24,Entrada,Impostos,Comercial,Boleto,1312.24,-25387.31
2020-01-24,Saída,Salários,Comercial,Boleto,-4284.88,-29672.2
2020-01-25,Saída,Impostos,Operacional,Pix,-1364.17,-31036.37
2020-01-25,Saída,Salários,Comercial,Transferência,-3126.94,-34163.31
2020-01-25,Entrada,Vendas,Administrativo,Cartão,4475.44,-29687.87
2020-01-26,Saída,Marketing,Administrativo,Boleto,-1400.39,-31088.26
2020-01-26,Saída,Marketing,Comercial,Transferência,-2343.19,-33431.45
2020-01-26,Saída,Impostos,Administrativo,Transferência,-502.31,-33933.76
2020-01-26,Saída,Salários,Operacional,Boleto,-2677.55,-36611.31
2020-01-26,Saída,Impostos,Operacional,Pix,-892.59,-37503.9
2020-01-27,Entrada,Impostos,Comercial,Pix,1145.05,-36358.85
2020-01-27,Saída,Marketing,Comercial,Cartão,-1733.56,-38092.41
2020-01-28,Saída,Marketing,RH,Cartão,-277.04,-38369.45
2020-01-28,Saída,Fornecedores,RH,Transferência,-3336.07,-41705.52
2020-01-28,Saída,Salários,RH,Transferência,-3160.03,-44865.55
2020-01-28,Saída,Marketing,RH,Transferência,-1838.74,-46704.29
2020-01-28,Entrada,Vendas,Operacional,Cartão,3711.29,-42993.0
2020-01-29,Saída,Impostos,Operacional,Transferência,-3469.77,-46462.77
2020-01-29,Saída,Marketing,RH,Cartão,-1516.22,-47978.99
2020-01-29,Saída,Marketing,Operacional,Pix,-1270.85,-49249.84
2020-01-30,Saída,Fornecedores,Administrativo,Cartão,-2019.63,-51269.47
2020-01-30,Entrada,Impostos,Comercial,Pix,1543.42,-49726.05
2020-01-30,Saída,Salários,RH,Transferência,-2491.04,-52217.09
2020-01-31,Saída,Salários,Comercial,Boleto,-2826.28,-55043.37
2020-01-31,Saída,Impostos,Administrativo,Pix,-713.46,-55756.83
2020-02-01,Saída,Impostos,RH,Pix,-1747.41,-57504.23
2020-02-01,Entrada,Vendas,RH,Boleto,4052.52,-53451.71
2020-02-01,Saída,Marketing,Comercial,Transferência,-2330.39,-55782.1
2020-02-01,Saída,Salários,Operacional,Transferência,-2798.06,-58580.16
2020-02-02,Entrada,Marketing,Administrativo,Boleto,603.21,-57976.95
2020-02-02,Entrada,Vendas,Operacional,Cartão,3714.23,-54262.72
2020-02-02,Saída,Marketing,RH,Cartão,-690.02,-54952.74
2020-02-02,Entrada,Impostos,Comercial,Pix,1534.83,-53417.91
2020-02-03,Saída,Impostos,Administrativo,Transferência,-2290.1,-55708.02
2020-02-03,Entrada,Vendas,Comercial,Transferência,3811.25,-51896.76
2020-02-03,Saída,Impostos,Comercial,Pix,-2815.98,-54712.74
2020-02-03,Saída,Vendas,Operacional,Boleto,-857.02,-55569.76
2020-02-03,Entrada,Marketing,RH,Boleto,959.76,-54610.0
2020-02-04,Saída,Salários,Administrativo,Pix,-2272.07,-56882.07
2020-02-04,Saída,Fornecedores,Comercial,Transferência,-1783.04,-58665.11
2020-02-04,Entrada,Vendas,RH,Boleto,3618.33,-55046.78
2020-02-04,Saída,Fornecedores,RH,Pix,-2077.16,-57123.94
2020-02-05,Saída,Vendas,Comercial,Pix,-877.92,-58001.85
2020-02-05,Saída,Vendas,Comercial,Boleto,-815.33,-58817.19
2020-02-05,Saída,Fornecedores,RH,Pix,-2308.37,-61125.55
2020-02-05,Entrada,Fornecedores,Operacional,Cartão,2542.69,-58582.86
2020-02-06,Saída,Marketing,RH,Cartão,-1402.62,-59985.49
2020-02-06,Saída,Impostos,RH,Cartão,-1728.19,-61713.67
2020-02-07,Entrada,Impostos,Comercial,Cartão,1560.15,-60153.53
2020-02-07,Entrada,Vendas,RH,Boleto,4662.99,-55490.53
2020-02-07,Entrada,Marketing,Operacional,Boleto,150.0,-55340.53
2020-02-08,Saída,Salários,Administrativo,Cartão,-3012.22,-58352.75
2020-02-08,Saída,Impostos,Comercial,Pix,-1362.04,-59714.79
2020-02-08,Saída,Impostos,RH,Pix,-3223.55,-62938.35
2020-02-08,Saída,Fornecedores,Operacional,Pix,-2443.26,-65381.6
2020-02-09,Saída,Fornecedores,Operacional,Transferência,-2592.28,-67973.88
2020-02-09,Saída,Vendas,Comercial,Cartão,-1388.58,-69362.47
2020-02-09,Saída,Fornecedores,RH,Cartão,-1295.92,-70658.39
2020-02-09,Saída,Salários,Administrativo,Cartão,-3003.03,-73661.42
2020-02-10,Entrada,Impostos,Comercial,Cartão,667.65,-72993.77
2020-02-10,Entrada,Fornecedores,Administrativo,Transferência,1139.25,-71854.52
2020-02-10,Entrada,Vendas,Operacional,Boleto,4638.91,-67215.61
2020-02-10,Saída,Impostos,Administrativo,Pix,-2069.66,-69285.27
2020-02-10,Saída,Salários,Administrativo,Pix,-2829.89,-72115.17
2020-02-11,Entrada,Vendas,RH,Cartão,3103.36,-69011.81
2020-02-11,Saída,Salários,RH,Transferência,-2387.77,-71399.58
2020-02-12,Entrada,Fornecedores,Operacional,Boleto,2310.81,-69088.77
2020-02-12,Saída,Vendas,Operacional,Cartão,-713.89,-69802.66
2020-02-13,Saída,Salários,Administrativo,Transferência,-3022.96,-72825.62
2020-02-13,Saída,Fornecedores,Administrativo,Transferência,-2501.95,-75327.56
2020-02-13,Entrada,Fornecedores,Operacional,Boleto,2714.27,-72613.29
2020-02-13,Entrada,Vendas,Operacional,Cartão,1988.93,-70624.36
2020-02-14,Entrada,Vendas,Operacional,Pix,5718.43,-64905.94
2020-02-14,Saída,Fornecedores,RH,Cartão,-3105.31,-68011.25
2020-02-14,Saída,Marketing,Operacional,Pix,-1179.75,-69191.0
2020-02-14,Saída,Fornecedores,Comercial,Cartão,-3665.63,-72856.63
2020-02-15,Saída,Salários,Operacional,Boleto,-3547.6,-76404.23
2020-02-15,Entrada,Impostos,Comercial,Cartão,1402.87,-75001.36
2020-02-15,Entrada,Marketing,Comercial,Transferência,1518.99,-73482.36
2020-02-15,Entrada,Vendas,Comercial,Boleto,4330.68,-69151.68
2020-02-15,Entrada,Vendas,Comercial,Transferência,5317.77,-63833.91
2020-02-16,Saída,Salários,Comercial,Boleto,-3139.97,-66973.87
2020-02-16,Entrada,Vendas,Administrativo,Cartão,5088.74,-61885.13
2020-02-16,Saída,Impostos,Comercial,Transferência,-2158.52,-64043.65
2020-02-17,Saída,Fornecedores,RH,Pix,-1918.43,-65962.07
2020-02-17,Entrada,Impostos,RH,Cartão,1880.13,-64081.95
2020-02-17,Saída,Fornecedores,Comercial,Transferência,-2696.92,-66778.87
2020-02-18,Saída,Marketing,Operacional,Transferência,-1098.01,-67876.87
2020-02-18,Entrada,Marketing,Administrativo,Cartão,962.19,-66914.68
2020-02-18,Saída,Fornecedores,RH,Cartão,-2870.66,-69785.34
2020-02-18,Saída,Fornecedores,Comercial,Pix,-3056.2,-72841.54
2020-02-18,Saída,Salários,Administrativo,Boleto,-2004.91,-74846.45
2020-02-19,Saída,Fornecedores,RH,Pix,-3998.44,-78844.88
2020-02-19,Entrada,Vendas,RH,Transferência,2778.43,-76066.45
2020-02-19,Saída,Impostos,Administrativo,Boleto,-812.85,-76879.3
2020-02-20,Saída,Impostos,RH,Boleto,-2386.25,-79265.55
2020-02-20,Entrada,Fornecedores,Administrativo,Cartão,1145.17,-78120.39
2020-02-21,Saída,Marketing,Comercial,Pix,-991.5,-79111.89
2020-02-21,Entrada,Fornecedores,Comercial,Cartão,453.12,-78658.77
2020-02-21,Saída,Impostos,Administrativo,Boleto,-2105.49,-80764.25
2020-02-21,Saída,Impostos,Administrativo,Cartão,-2548.55,-83312.81
2020-02-22,Saída,Fornecedores,Operacional,Boleto,-2021.13,-85333.93
2020-02-22,Saída,Fornecedores,Operacional,Cartão,-2310.42,-87644.36
2020-02-23,Saída,Salários,Comercial,Transferência,-3428.5,-91072.85
2020-02-23,Entrada,Impostos,Administrativo,Pix,1933.92,-89138.93
2020-02-23,Saída,Fornecedores,Administrativo,Boleto,-1650.79,-90789.72
2020-02-24,Entrada,Impostos,Administrativo,Transferência,2441.01,-88348.7
2020-02-24,Saída,Fornecedores,RH,Pix,-3476.34,-91825.04
2020-02-24,Entrada,Fornecedores,Operacional,Cartão,1833.43,-89991.61
2020-02-24,Saída,Impostos,Operacional,Cartão,-2356.51,-92348.12
2020-02-25,Entrada,Vendas,RH,Pix,4967.02,-87381.1
2020-02-25,Saída,Fornecedores,Comercial,Pix,-543.41,-87924.51
2020-02-25,Saída,Fornecedores,Comercial,Transferência,-2192.33,-90116.84
2020-02-26,Entrada,Vendas,Operacional,Boleto,2847.17,-87269.66
2020-02-26,Entrada,Vendas,RH,Cartão,3284.53,-83985.14
2020-02-27,Saída,Vendas,Administrativo,Pix,-1055.0,-85040.14
2020-02-27,Saída,Impostos,Administrativo,Cartão,-1177.48,-86217.62
2020-02-27,Saída,Fornecedores,Operacional,Boleto,-1110.43,-87328.05
2020-02-27,Saída,Impostos,RH,Cartão,-1881.86,-89209.91
2020-02-27,Entrada,Vendas,Comercial,Transferência,5249.85,-83960.06
2020-02-28,Saída,Marketing,RH,Pix,-1221.73,-85181.8
2020-02-28,Saída,Impostos,Operacional,Transferência,-1842.98,-87024.78
2020-02-28,Saída,Salários,Comercial,Transferência,-2946.68,-89971.45
2020-02-28,Saída,Marketing,Administrativo,Pix,-1365.21,-91336.66
2020-02-29,Entrada,Vendas,Operacional,Transferência,4288.87,-87047.79
2020-02-29,Saída,Fornecedores,Operacional,Cartão,-2295.72,-89343.51
2020-02-29,Saída,Salários,Operacional,Boleto,-4074.86,-93418.37
2020-03-01,Saída,Marketing,RH,Pix,-1851.69,-95270.06
2020-03-01,Saída,Salários,Operacional,Pix,-3942.54,-99212.6
2020-03-01,Saída,Marketing,Comercial,Pix,-890.61,-100103.21
2020-03-01,Saída,Impostos,Administrativo,Transferência,-2862.88,-102966.09
2020-03-01,Saída,Marketing,Administrativo,Cartão,-601.96,-103568.05
2020-03-02,Entrada,Vendas,Comercial,Cartão,5835.84,-97732.21
2020-03-02,Entrada,Vendas,Comercial,Transferência,4797.96,-92934.25
2020-03-02,Entrada,Vendas,Administrativo,Pix,4185.35,-88748.91
2020-03-02,Entrada,Fornecedores,Comercial,Boleto,1781.48,-86967.43
2020-03-03,Entrada,Salários,Operacional,Cartão,357.79,-86609.64
2020-03-03,Entrada,Vendas,RH,Cartão,5401.18,-81208.46
2020-03-03,Entrada,Marketing,Operacional,Cartão,1497.77,-79710.68
2020-03-03,Saída,Marketing,RH,Cartão,-2175.05,-81885.73
2020-03-03,Saída,Salários,RH,Cartão,-3988.81,-85874.54
2020-03-04,Entrada,Marketing,Comercial,Transferência,289.93,-85584.61
2020-03-04,Entrada,Impostos,Administrativo,Transferência,848.69,-84735.92
2020-03-05,Entrada,Vendas,Operacional,Transferência,4003.62,-80732.31
2020-03-05,Saída,Salários,Operacional,Transferência,-3639.9,-84372.21
2020-03-05,Saída,Salários,Administrativo,Transferência,-2779.11,-87151.32
2020-03-06,Saída,Fornecedores,RH,Pix,-3104.62,-90255.94
2020-03-06,Entrada,Salários,RH,Cartão,558.15,-89697.79
2020-03-06,Entrada,Vendas,RH,Cartão,3852.25,-85845.54
2020-03-06,Saída,Fornecedores,Operacional,Pix,-4878.68,-90724.22
2020-03-07,Saída,Salários,Administrativo,Transferência,-4214.31,-94938.53
2020-03-07,Entrada,Vendas,Operacional,Boleto,5875.5,-89063.03
2020-03-07,Saída,Fornecedores,Administrativo,Transferência,-3943.37,-93006.4
2020-03-07,Entrada,Vendas,Comercial,Cartão,5929.39,-87077.01
2020-03-08,Entrada,Vendas,RH,Pix,5274.65,-81802.36
2020-03-08,Saída,Salários,RH,Pix,-3847.19,-85649.55
2020-03-08,Entrada,Impostos,Operacional,Cartão,1612.3,-84037.25
2020-03-08,Saída,Impostos,Comercial,Transferência,-1289.97,-85327.22
2020-03-09,Saída,Salários,Operacional,Pix,-2654.37,-87981.59
2020-03-09,Entrada,Marketing,Administrativo,Cartão,2030.46,-85951.14
2020-03-09,Saída,Impostos,Operacional,Boleto,-2951.48,-88902.62
2020-03-09,Entrada,Vendas,Administrativo,Cartão,2858.83,-86043.79
2020-03-10,Entrada,Vendas,Administrativo,Cartão,4915.16,-81128.62
2020-03-10,Entrada,Fornecedores,Operacional,Transferência,2805.18,-78323.44
2020-03-10,Saída,Impostos,Comercial,Cartão,-3541.24,-81864.68
2020-03-10,Saída,Marketing,Operacional,Cartão,-1401.37,-83266.05
2020-03-11,Saída,Marketing,RH,Cartão,-1437.29,-84703.34
2020-03-11,Saída,Salários,Administrativo,Pix,-3032.15,-87735.49
2020-03-11,Saída,Vendas,Administrativo,Cartão,-706.06,-88441.54
2020-03-12,Entrada,Impostos,RH,Cartão,1566.8,-86874.74
2020-03-12,Saída,Fornecedores,Comercial,Cartão,-2670.67,-89545.41
2020-03-12,Saída,Marketing,RH,Transferência,-1641.23,-91186.64
2020-03-12,Entrada,Fornecedores,RH,Pix,1712.9,-89473.74
2020-03-12,Saída,Vendas,Comercial,Transferência,-828.37,-90302.11
2020-03-13,Entrada,Vendas,RH,Transferência,3071.53,-87230.58
2020-03-13,Saída,Fornecedores,Comercial,Pix,-2923.19,-90153.77
2020-03-13,Entrada,Fornecedores,Administrativo,Transferência,2210.02,-87943.75
2020-03-13,Saída,Vendas,Administrativo,Pix,-512.07,-88455.82
2020-03-14,Saída,Fornecedores,Operacional,Boleto,-2696.5,-91152.32
2020-03-14,Entrada,Vendas,RH,Transferência,4635.86,-86516.46
2020-03-14,Saída,Marketing,Operacional,Pix,-1590.95,-88107.42
2020-03-15,Saída,Marketing,Administrativo,Cartão,-2641.87,-90749.29
2020-03-15,Saída,Impostos,RH,Pix,-3698.58,-94447.87
2020-03-16,Saída,Salários,Administrativo,Transferência,-3252.65,-97700.52
2020-03-16,Saída,Vendas,Comercial,Boleto,-1356.88,-99057.4
2020-03-16,Saída,Fornecedores,Administrativo,Cartão,-3147.95,-102205.35
2020-03-16,Saída,Impostos,RH,Cartão,-2908.69,-105114.04
2020-03-17,Saída,Fornecedores,RH,Pix,-3356.81,-108470.86
2020-03-17,Saída,Salários,Comercial,Boleto,-3124.92,-111595.78
2020-03-17,Saída,Marketing,Comercial,Pix,-1894.6,-113490.38
2020-03-18,Saída,Salários,Administrativo,Cartão,-3699.84,-117190.21
2020-03-18,Saída,Salários,Administrativo,Boleto,-3752.41,-120942.63
2020-03-18,Entrada,Fornecedores,Administrativo,Pix,2037.97,-118904.66
2020-03-19,Saída,Marketing,Administrativo,Transferência,-1420.3,-120324.96
2020-03-19,Entrada,Impostos,Comercial,Boleto,2006.99,-118317.97
2020-03-19,Entrada,Vendas,Comercial,Pix,4205.09,-114112.88
2020-03-19,Saída,Salários,Administrativo,Transferência,-5306.42,-119419.3
2020-03-20,Entrada,Marketing,Operacional,Cartão,1039.66,-118379.64
2020-03-20,Entrada,Fornecedores,Operacional,Pix,1992.04,-116387.61
2020-03-20,Saída,Marketing,RH,Transferência,-905.66,-117293.27
2020-03-20,Entrada,Impostos,RH,Transferência,1865.19,-115428.09
2020-03-21,Saída,Fornecedores,Operacional,Cartão,-2241.05,-117669.13
2020-03-21,Saída,Marketing,RH,Cartão,-1412.38,-119081.51
2020-03-21,Saída,Fornecedores,RH,Pix,-4185.27,-123266.78
2020-03-21,Entrada,Salários,RH,Transferência,488.22,-122778.57
2020-03-22,Entrada,Fornecedores,Administrativo,Boleto,3066.2,-119712.37
2020-03-22,Entrada,Vendas,RH,Cartão,6513.45,-113198.92
2020-03-22,Entrada,Fornecedores,RH,Boleto,357.91,-112841.01
2020-03-22,Entrada,Marketing,Comercial,Transferência,2133.53,-110707.48
2020-03-22,Saída,Marketing,Administrativo,Cartão,-2473.1,-113180.58
2020-03-23,Saída,Impostos,RH,Pix,-1647.13,-114827.71
2020-03-23,Saída,Impostos,Comercial,Pix,-651.22,-115478.93
2020-03-23,Saída,Fornecedores,RH,Cartão,-1870.38,-117349.31
2020-03-24,Entrada,Vendas,Comercial,Boleto,4780.62,-112568.69
2020-03-24,Saída,Marketing,Administrativo,Cartão,-1106.12,-113674.81
2020-03-24,Saída,Impostos,Comercial,Cartão,-1980.99,-115655.8
2020-03-25,Saída,Salários,Comercial,Transferência,-4420.04,-120075.83
2020-03-25,Saída,Salários,Operacional,Boleto,-4124.78,-124200.62
2020-03-25,Saída,Fornecedores,RH,Transferência,-4325.56,-128526.18
2020-03-26,Saída,Vendas,Comercial,Boleto,-1512.19,-130038.36
2020-03-26,Saída,Salários,Administrativo,Pix,-3409.99,-133448.36
2020-03-26,Saída,Fornecedores,Administrativo,Boleto,-4980.32,-138428.68
2020-03-26,Saída,Salários,Comercial,Pix,-5036.95,-143465.62
2020-03-27,Saída,Marketing,RH,Cartão,-1345.33,-144810.95
2020-03-27,Saída,Salários,Operacional,Transferência,-4139.81,-148950.77
2020-03-27,Saída,Impostos,Operacional,Boleto,-2213.92,-151164.69
2020-03-27,Saída,Salários,Comercial,Pix,-4087.32,-155252.01
2020-03-28,Saída,Marketing,Comercial,Transferência,-461.49,-155713.5
2020-03-28,Entrada,Impostos,Comercial,Transferência,1531.44,-154182.06
2020-03-28,Saída,Impostos,Operacional,Pix,-2197.71,-156379.77
2020-03-29,Saída,Marketing,Administrativo,Boleto,-3395.3,-159775.07
2020-03-29,Saída,Fornecedores,Administrativo,Cartão,-3079.61,-162854.68
2020-03-29,Saída,Impostos,Comercial,Boleto,-2863.69,-165718.37
2020-03-30,Saída,Fornecedores,Operacional,Pix,-3164.16,-168882.53
2020-03-30,Saída,Marketing,Operacional,Cartão,-1328.51,-170211.04
2020-03-30,Saída,Salários,Administrativo,Boleto,-4181.16,-174392.2
2020-03-30,Saída,Salários,Administrativo,Pix,-3940.66,-178332.86
2020-03-31,Saída,Marketing,RH,Transferência,-1442.39,-179775.25
2020-03-31,Entrada,Vendas,Administrativo,Pix,3458.55,-176316.71
2020-03-31,Saída,Marketing,Comercial,Transferência,-2227.0,-178543.71
2020-04-01,Saída,Marketing,Administrativo,Boleto,-622.05,-179165.76
2020-04-01,Saída,Fornecedores,Comercial,Pix,-2182.08,-181347.85
2020-04-01,Saída,Impostos,Comercial,Boleto,-766.05,-182113.9
2020-04-02,Entrada,Vendas,RH,Boleto,3814.7,-178299.2
2020-04-02,Saída,Marketing,RH,Transferência,-1239.18,-179538.38
2020-04-02,Entrada,Vendas,Administrativo,Boleto,6069.07,-173469.31
2020-04-02,Entrada,Marketing,Operacional,Cartão,705.06,-172764.25
2020-04-03,Saída,Fornecedores,RH,Cartão,-2903.4,-175667.65
2020-04-03,Saída,Marketing,Comercial,Boleto,-1469.67,-177137.32
2020-04-03,Entrada,Vendas,Operacional,Transferência,4607.28,-172530.04
2020-04-04,Entrada,Marketing,Comercial,Boleto,1225.54,-171304.49
2020-04-04,Saída,Salários,RH,Cartão,-3284.41,-174588.91
2020-04-04,Saída,Impostos,Administrativo,Pix,-2028.33,-176617.24
2020-04-04,Entrada,Salários,Operacional,Pix,524.85,-176092.38
2020-04-05,Saída,Salários,Administrativo,Transferência,-3973.87,-180066.25
2020-04-05,Saída,Fornecedores,Operacional,Boleto,-3349.62,-183415.88
2020-04-05,Saída,Impostos,RH,Pix,-1905.46,-185321.33
2020-04-06,Saída,Vendas,RH,Cartão,-566.51,-185887.84
2020-04-06,Entrada,Vendas,RH,Cartão,4472.16,-181415.69
2020-04-06,Saída,Marketing,Comercial,Transferência,-1007.32,-182423.01
2020-04-07,Saída,Vendas,Operacional,Transferência,-459.28,-182882.29
2020-04-07,Entrada,Vendas,RH,Transferência,3390.75,-179491.53
2020-04-07,Saída,Salários,Operacional,Transferência,-2506.03,-181997.56
2020-04-07,Entrada,Vendas,Administrativo,Cartão,2261.95,-179735.61
2020-04-08,Saída,Fornecedores,Operacional,Boleto,-1849.48,-181585.09
2020-04-08,Saída,Fornecedores,RH,Pix,-4201.95,-185787.04
2020-04-09,Saída,Marketing,RH,Cartão,-705.21,-186492.25
2020-04-09,Saída,Impostos,Operacional,Boleto,-712.76,-187205.01
2020-04-09,Saída,Fornecedores,Administrativo,Transferência,-2197.85,-189402.86
2020-04-09,Entrada,Fornecedores,Operacional,Transferência,2035.25,-187367.61
2020-04-10,Saída,Fornecedores,Comercial,Pix,-1703.54,-189071.15
2020-04-10,Saída,Fornecedores,RH,Transferência,-1612.58,-190683.73
2020-04-10,Saída,Salários,Administrativo,Pix,-2777.67,-193461.41
2020-04-11,Saída,Fornecedores,Operacional,Transferência,-1130.55,-194591.96
2020-04-11,Saída,Impostos,Operacional,Transferência,-1359.92,-195951.88
2020-04-12,Saída,Marketing,Administrativo,Pix,-1664.16,-197616.04
2020-04-12,Entrada,Vendas,Administrativo,Boleto,4422.75,-193193.3
2020-04-12,Saída,Marketing,RH,Pix,-2525.23,-195718.52
2020-04-12,Saída,Salários,Administrativo,Pix,-3323.56,-199042.08
2020-04-12,Saída,Vendas,Comercial,Transferência,-979.62,-200021.7
2020-04-13,Saída,Fornecedores,Administrativo,Boleto,-2869.34,-202891.05
2020-04-13,Saída,Salários,RH,Transferência,-3676.7,-206567.75
2020-04-13,Saída,Vendas,Operacional,Boleto,-844.41,-207412.16
2020-04-14,Saída,Fornecedores,Administrativo,Transferência,-2296.14,-209708.31
2020-04-14,Saída,Salários,RH,Pix,-3666.89,-213375.19
2020-04-15,Saída,Salários,Comercial,Cartão,-2115.33,-215490.52
2020-04-15,Entrada,Vendas,Operacional,Transferência,4550.96,-210939.56
2020-04-15,Saída,Salários,Administrativo,Transferência,-4042.85,-214982.4
2020-04-15,Saída,Marketing,Administrativo,Cartão,-1109.16,-216091.56
2020-04-16,Entrada,Vendas,Operacional,Boleto,3286.72,-212804.85
2020-04-16,Saída,Marketing,Comercial,Boleto,-1516.89,-214321.74
2020-04-16,Saída,Salários,Operacional,Pix,-2110.87,-216432.61
