data,categoria,centro_custo,tipo_despesa,valor
2020-02-24,Marketing,Operacional,Variável,-2444.98
2020-02-24,Marketing,Comercial,Variável,-1923.2
2020-02-24,Aluguel,Administrativo,Variável,-2673.28
2020-02-25,Pessoal,Operacional,Fixa,-2651.34
2020-02-26,Marketing,Administrativo,Variável,-1746.35
2020-02-26,Marketing,Comercial,Variável,-1733.47
2020-02-27,Infraestrutura,Operacional,Fixa,-1947.89
2020-02-27,Serviços,Administrativo,Variável,-3629.23
2020-02-28,Serviços,Administrativo,Variável,-1508.24
2020-02-28,Pessoal,Administrativo,Fixa,-2176.25
2020-02-29,Serviços,RH,Variável,-2565.72
2020-02-29,Serviços,RH,Fixa,-3345.61
2020-03-01,Infraestrutura,Administrativo,Variável,-1845.44
2020-03-01,Serviços,Administrativo,Fixa,-2777.05
2020-03-02,Marketing,Comercial,Variável,-773.4
2020-03-03,Pessoal,Administrativo,Fixa,-1658.75
2020-03-03,Pessoal,RH,Fixa,-2069.21
2020-03-04,Marketing,Administrativo,Fixa,-1403.96
2020-03-05,Aluguel,RH,Variável,-2264.76
2020-03-06,Serviços,Comercial,Variável,-2930.54
2020-03-06,Marketing,Operacional,Fixa,-1902.84
2020-03-07,Marketing,Comercial,Variável,-3504.65
2020-03-08,Marketing,RH,Fixa,-1662.51
2020-03-09,Serviços,Administrativo,Variável,-3126.14
2020-03-10,Aluguel,Administrativo,Variável,-2475.72
2020-03-11,Marketing,Operacional,Variável,-1469.02
2020-03-11,Pessoal,Operacional,Fixa,-2640.46
2020-03-12,Aluguel,Comercial,Variável,-2957.35
2020-03-12,Aluguel,Administrativo,Variável,-2596.3
2020-03-13,Infraestrutura,RH,Fixa,-3322.45
2020-03-13,Infraestrutura,Administrativo,Variável,-3553.32
2020-03-14,Infraestrutura,Operacional,Variável,-5462.86
2020-03-14,Serviços,Operacional,Fixa,-465.03
2020-03-15,Infraestrutura,Administrativo,Variável,-4384.55
2020-03-15,Marketing,Administrativo,Variável,-1031.84
2020-03-16,Infraestrutura,Administrativo,Variável,-3196.63
2020-03-17,Serviços,Administrativo,Fixa,-1549.53
2020-03-17,Serviços,Administrativo,Variável,-3306.08
2020-03-18,Serviços,Administrativo,Fixa,-3786.42
2020-03-18,Pessoal,Comercial,Fixa,-3571.82
2020-03-19,Pessoal,Operacional,Variável,-2650.78
2020-03-19,Pessoal,Comercial,Variável,-2681.16
2020-03-20,Pessoal,Comercial,Fixa,-3571.79
2020-03-20,Pessoal,Administrativo,Fixa,-1302.07
2020-03-20,Serviços,RH,Variável,-3102.18
2020-03-21,Serviços,Operacional,Variável,-3541.71
2020-03-22,Aluguel,RH,Variável,-3064.86
2020-03-22,Pessoal,Operacional,Variável,-3036.54
2020-03-23,Marketing,Administrativo,Fixa,-1256.29
2020-03-23,Infraestrutura,RH,Fixa,-3001.91
2020-03-24,Marketing,RH,Fixa,-586.13
2020-03-25,Marketing,Administrativo,Fixa,-2676.62
2020-03-26,Marketing,RH,Variável,-2344.65
2020-03-26,Aluguel,Operacional,Fixa,-2090.4
2020-03-26,Serviços,Administrativo,Fixa,-3304.73
2020-03-27,Infraestrutura,RH,Variável,-2943.91
2020-03-28,Infraestrutura,RH,Fixa,-617.99
2020-03-29,Marketing,Administrativo,Variável,-1664.52
2020-03-29,Infraestrutura,RH,Fixa,-1385.12
2020-03-30,Aluguel,Operacional,Fixa,-1768.65
2020-03-30,Marketing,Comercial,Variável,-1726.44
2020-03-31,Infraestrutura,Operacional,Fixa,-2809.9
2020-04-01,Aluguel,Administrativo,Variável,-3470.87
2020-04-02,Infraestrutura,Comercial,Fixa,-1442.4
2020-04-02,Aluguel,Operacional,Fixa,-3805.31
2020-04-03,Infraestrutura,Administrativo,Variável,-1848.11
2020-04-04,Infraestrutura,Administrativo,Fixa,-2917.43
2020-04-04,Pessoal,Administrativo,Fixa,-1618.03
2020-04-05,Serviços,Administrativo,Fixa,-2627.71
2020-04-05,Aluguel,RH,Variável,-2475.34
2020-04-06,Marketing,RH,Fixa,-786.09
2020-04-06,Serviços,Operacional,Fixa,-2269.22
2020-04-07,Aluguel,Operacional,Variável,-2091.68
2020-04-07,Serviços,RH,Variável,-2504.39
2020-04-07,Aluguel,RH,Fixa,-3622.49
2020-04-08,Infraestrutura,Administrativo,Variável,-937.14
2020-04-08,Infraestrutura,Operacional,Variável,-4174.27
2020-04-09,Serviços,Administrativo,Fixa,-1567.5
2020-04-09,Aluguel,RH,Variável,-2098.13
2020-04-10,Marketing,Comercial,Variável,-3309.96
2020-04-10,Aluguel,Operacional,Variável,-2399.59
2020-04-11,Pessoal,Operacional,Variável,-2824.52
2020-04-12,Serviços,Administrativo,Variável,-1758.25
2020-04-13,Infraestrutura,Comercial,Fixa,-2554.91
2020-04-13,Pessoal,Administrativo,Variável,-2143.87
2020-04-14,Serviços,Administrativo,Variável,-2583.01
2020-04-14,Marketing,Administrativo,Variável,-1346.87
2020-04-15,Marketing,Comercial,Variável,-1333.14
2020-04-15,Marketing,Comercial,Variável,-2149.53
2020-04-16,Marketing,Administrativo,Variável,-3339.19
2020-04-17,Aluguel,Comercial,Fixa,-2002.56
2020-04-17,Pessoal,Comercial,Fixa,-1395.75
2020-04-17,Pessoal,Operacional,Variável,-1458.24
2020-04-18,Serviços,RH,Fixa,-2531.41
2020-04-18,Serviços,Comercial,Variável,-1430.84
2020-04-18,Infraestrutura,Comercial,Variável,-4063.26
2020-04-19,Aluguel,Administrativo,Variável,-2603.72
2020-04-20,Pessoal,RH,Fixa,-1529.65
2020-04-21,Infraestrutura,Comercial,Variável,-3158.7
2020-04-22,Infraestrutura,Comercial,Fixa,-2991.13
2020-04-22,Marketing,Comercial,Fixa,-1815.62
2020-04-23,Serviços,Administrativo,Variável,-2115.37
2020-04-24,Pessoal,Operacional,Fixa,-2502.27
2020-04-24,Infraestrutura,RH,Fixa,-2409.74
2020-04-24,Aluguel,Comercial,Variável,-2761.36
2020-04-25,Marketing,RH,Fixa,-2020.44
2020-04-26,Infraestrutura,Comercial,Variável,-3048.64
2020-04-26,Aluguel,Comercial,Fixa,-2734.79
2020-04-27,Serviços,Comercial,Fixa,-2137.63
2020-04-27,Marketing,Operacional,Fixa,-1912.78
2020-04-28,Infraestrutura,Comercial,Variável,-3202.44
2020-04-28,Aluguel,Operacional,Variável,-2034.04
2020-04-29,Serviços,Comercial,Variável,-3539.84
2020-04-29,Serviços,Comercial,Fixa,-1806.43
2020-04-29,Aluguel,RH,Fixa,-2030.81
2020-04-30,Marketing,Administrativo,Fixa,-1718.42
2020-05-01,Serviços,Comercial,Fixa,-1358.08
2020-05-02,Infraestrutura,Operacional,Variável,-3978.96
2020-05-02,Pessoal,Operacional,Variável,-2407.61
2020-05-03,Infraestrutura,Operacional,Variável,-2476.65
2020-05-03,Aluguel,Administrativo,Variável,-2613.46
2020-05-04,Pessoal,Operacional,Fixa,-2075.47
2020-05-05,Pessoal,Operacional,Variável,-1801.99
2020-05-05,Serviços,Comercial,Fixa,-1493.86
2020-05-06,Aluguel,Operacional,Fixa,-1717.18
2020-05-07,Pessoal,RH,Variável,-1747.21
2020-05-08,Aluguel,RH,Fixa,-2388.59
2020-05-09,Pessoal,Administrativo,Fixa,-978.13
2020-05-10,Marketing,RH,Variável,-1583.71
2020-05-10,Aluguel,Comercial,Fixa,-2368.66
2020-05-11,Serviços,Administrativo,Variável,-3110.16
2020-05-12,Aluguel,Operacional,Fixa,-780.61
2020-05-13,Infraestrutura,RH,Variável,-2703.76
2020-05-14,Marketing,Operacional,Fixa,-2722.42
2020-05-14,Pessoal,Administrativo,Variável,-1809.41
2020-05-15,Serviços,RH,Fixa,-1927.5
2020-05-15,Aluguel,Administrativo,Fixa,-2436.39
2020-05-16,Serviços,Administrativo,Fixa,-1103.89
2020-05-17,Serviços,Administrativo,Fixa,-2392.64
2020-05-17,Aluguel,Comercial,Variável,-2099.06
2020-05-18,Infraestrutura,Operacional,Variável,-2974.41
2020-05-18,Infraestrutura,RH,Variável,-1930.14
2020-05-19,Pessoal,Administrativo,Fixa,-3107.97
2020-05-19,Pessoal,RH,Variável,-2893.92
2020-05-20,Marketing,RH,Fixa,-1953.0
2020-05-21,Aluguel,Comercial,Fixa,-2664.0
2020-05-22,Pessoal,Administrativo,Variável,-3065.21
2020-05-22,Marketing,Operacional,Variável,-1222.64
2020-05-23,Pessoal,RH,Variável,-2109.04
2020-05-23,Infraestrutura,Operacional,Fixa,-4332.37
2020-05-24,Aluguel,Comercial,Variável,-3294.7
2020-05-24,Marketing,Operacional,Variável,-934.93
2020-05-25,Infraestrutura,Comercial,Variável,-3903.25
2020-05-26,Infraestrutura,RH,Variável,-2825.23
2020-05-27,Serviços,RH,Fixa,-2428.93
2020-05-27,Infraestrutura,RH,Variável,-2963.4
2020-05-28,Aluguel,RH,Variável,-3544.24
2020-05-29,Serviços,Administrativo,Fixa,-2060.82
2020-05-30,Pessoal,Administrativo,Variável,-790.29
2020-05-31,Marketing,Administrativo,Fixa,-2052.58
2020-05-31,Aluguel,Comercial,Variável,-1025.09
2020-06-01,Pessoal,Comercial,Variável,-2532.48
2020-06-02,Marketing,Administrativo,Variável,-1947.13
2020-06-02,Serviços,RH,Variável,-2637.1
2020-06-02,Infraestrutura,Administrativo,Fixa,-3423.39
2020-06-03,Pessoal,Operacional,Fixa,-2752.34
2020-06-04,Infraestrutura,Comercial,Fixa,-2872.1
2020-06-04,Marketing,RH,Fixa,-1614.49
2020-06-05,Serviços,Operacional,Variável,-2479.93
2020-06-05,Infraestrutura,Operacional,Variável,-2215.41
2020-06-06,Infraestrutura,Comercial,Variável,-4939.65
2020-06-06,Marketing,RH,Variável,-1286.64
2020-06-06,Serviços,Comercial,Variável,-1437.68
2020-06-07,Pessoal,Administrativo,Variável,-3088.54
2020-06-08,Pessoal,RH,Fixa,-1821.95
2020-06-09,Serviços,RH,Variável,-2488.09
2020-06-09,Serviços,Comercial,Fixa,-2249.33
2020-06-10,Aluguel,Operacional,Variável,-3066.06
2020-06-11,Aluguel,Administrativo,Variável,-3739.27
2020-06-12,Marketing,Operacional,Fixa,-2495.67
2020-06-13,Aluguel,RH,Variável,-2839.81
2020-06-13,Pessoal,RH,Fixa,-1890.49
2020-06-13,Pessoal,Operacional,Variável,-3189.77
2020-06-14,Aluguel,Administrativo,Fixa,-3518.06
2020-06-15,Marketing,Comercial,Fixa,-2612.76
2020-06-16,Marketing,RH,Fixa,-2898.06
2020-06-16,Marketing,Administrativo,Variável,-2005.95
2020-06-16,Marketing,RH,Fixa,-2246.28
2020-06-17,Marketing,Administrativo,Variável,-1399.65
2020-06-17,Pessoal,RH,Fixa,-3217.73
2020-06-18,Infraestrutura,Operacional,Fixa,-3679.05
2020-06-19,Infraestrutura,RH,Fixa,-3944.39
2020-06-19,Pessoal,Operacional,Fixa,-2557.13
2020-06-20,Serviços,Operacional,Variável,-3175.3
2020-06-20,Aluguel,RH,Fixa,-2762.78
2020-06-21,Marketing,Administrativo,Variável,-1660.6
2020-06-21,Aluguel,Operacional,Fixa,-2159.53
2020-06-21,Infraestrutura,Operacional,Fixa,-4315.33
2020-06-22,Serviços,RH,Variável,-2662.65
2020-06-23,Infraestrutura,Administrativo,Variável,-3592.28
2020-06-23,Pessoal,Comercial,Variável,-2853.8
2020-06-24,Infraestrutura,RH,Fixa,-2037.03
2020-06-24,Serviços,Administrativo,Fixa,-4088.03
2020-06-25,Marketing,Administrativo,Fixa,-1708.94
2020-06-25,Infraestrutura,Operacional,Fixa,-2122.78
2020-06-25,Serviços,Comercial,Variável,-1724.28
2020-06-26,Pessoal,Comercial,Fixa,-1699.88
2020-06-26,Aluguel,RH,Variável,-2933.4
2020-06-27,Marketing,Operacional,Fixa,-1101.72
2020-06-27,Infraestrutura,Operacional,Variável,-2683.48
2020-06-27,Pessoal,Comercial,Fixa,-2700.32
2020-06-28,Serviços,Comercial,Fixa,-3792.39
2020-06-28,Marketing,Operacional,Fixa,-2031.47
2020-06-29,Serviços,Comercial,Variável,-2551.73
2020-06-29,Aluguel,Comercial,Fixa,-2132.09
2020-06-30,Pessoal,RH,Variável,-3717.93
2020-06-30,Marketing,Comercial,Variável,-2542.07
2020-07-01,Aluguel,Operacional,Variável,-2204.12
2020-07-02,Serviços,RH,Variável,-1375.13
2020-07-03,Aluguel,Administrativo,Fixa,-1257.51
2020-07-04,Pessoal,Comercial,Fixa,-2763.79
2020-07-04,Pessoal,Administrativo,Variável,-2481.92
2020-07-05,Aluguel,RH,Fixa,-2058.96
2020-07-05,Pessoal,RH,Variável,-992.04
2020-07-05,Infraestrutura,Comercial,Variável,-2815.84
2020-07-06,Pessoal,Comercial,Variável,-1357.84
2020-07-06,Infraestrutura,Administrativo,Variável,-1289.4
2020-07-07,Serviços,Operacional,Variável,-314.29
2020-07-07,Marketing,Administrativo,Variável,-1989.65
2020-07-07,Pessoal,Administrativo,Variável,-1282.94
2020-07-08,Serviços,RH,Variável,-412.95
2020-07-08,Pessoal,RH,Variável,-2362.49
2020-07-09,Pessoal,Operacional,Variável,-2533.04
2020-07-09,Infraestrutura,Comercial,Variável,-2399.93
2020-07-10,Infraestrutura,RH,Variável,-1334.1
2020-07-11,Infraestrutura,Operacional,Variável,-3096.45
2020-07-11,Marketing,Comercial,Fixa,-1520.7
2020-07-12,Infraestrutura,RH,Fixa,-3309.27
2020-07-13,Aluguel,RH,Variável,-3086.55
2020-07-13,Infraestrutura,Operacional,Fixa,-3023.95
2020-07-13,Aluguel,RH,Variável,-2170.92
2020-07-14,Infraestrutura,Operacional,Variável,-3280.96
2020-07-14,Pessoal,Comercial,Fixa,-1317.57
2020-07-15,Serviços,Comercial,Variável,-2282.58
2020-07-15,Marketing,Administrativo,Fixa,-1383.88
2020-07-16,Serviços,Administrativo,Variável,-2711.94
2020-07-16,Serviços,Administrativo,Variável,-2587.78
2020-07-17,Pessoal,Comercial,Fixa,-1900.67
2020-07-17,Marketing,Administrativo,Variável,-1927.68
2020-07-18,Serviços,Comercial,Variável,-3140.71
2020-07-19,Pessoal,Comercial,Fixa,-1609.65
2020-07-20,Pessoal,Operacional,Variável,-1617.7
2020-07-20,Aluguel,Comercial,Variável,-2235.35
2020-07-21,Serviços,Comercial,Variável,-2515.62
2020-07-22,Infraestrutura,Operacional,Variável,-3012.27
2020-07-23,Pessoal,Administrativo,Variável,-1882.15
2020-07-23,Pessoal,Comercial,Variável,-1735.96
2020-07-24,Aluguel,Administrativo,Fixa,-2952.04
2020-07-24,Serviços,Operacional,Fixa,-1971.25
2020-07-24,Pessoal,Administrativo,Variável,-1308.43
2020-07-25,Serviços,Comercial,Variável,-1622.35
2020-07-25,Pessoal,Comercial,Fixa,-1317.63
2020-07-25,Infraestrutura,Administrativo,Fixa,-3685.02
2020-07-26,Serviços,RH,Variável,-2356.73
2020-07-27,Aluguel,Operacional,Fixa,-2321.99
2020-07-27,Pessoal,Administrativo,Variável,-843.48
2020-07-27,Pessoal,Comercial,Fixa,-2025.75
2020-07-28,Infraestrutura,Comercial,Variável,-2250.39
2020-07-28,Pessoal,Comercial,Fixa,-2257.81
2020-07-28,Serviços,Administrativo,Variável,-2468.45
2020-07-29,Pessoal,Administrativo,Variável,-2029.64
2020-07-30,Aluguel,Operacional,Fixa,-2204.61
2020-07-30,Serviços,Comercial,Fixa,-2312.96
2020-07-31,Aluguel,Administrativo,Variável,-2570.7
2020-07-31,Pessoal,Operacional,Fixa,-1796.1
2020-07-31,Aluguel,Comercial,Variável,-2530.58
2020-08-01,Marketing,Administrativo,Fixa,-1486.82
2020-08-01,Serviços,RH,Fixa,-1930.72
2020-08-02,Marketing,Operacional,Fixa,-803.58
2020-08-02,Aluguel,Comercial,Fixa,-2642.95
2020-08-03,Aluguel,Administrativo,Variável,-1875.23
2020-08-04,Marketing,Administrativo,Variável,-1390.98
2020-08-05,Pessoal,Operacional,Fixa,-3100.64
2020-08-06,Aluguel,Administrativo,Fixa,-2079.52
2020-08-07,Pessoal,Operacional,Variável,-1128.7
2020-08-07,Infraestrutura,Comercial,Fixa,-1467.41
2020-08-08,Infraestrutura,Operacional,Fixa,-2159.87
2020-08-09,Marketing,RH,Fixa,-1329.15
2020-08-10,Serviços,Operacional,Variável,-2331.2
2020-08-10,Serviços,Administrativo,Variável,-2625.7
2020-08-11,Serviços,RH,Variável,-1690.3
2020-08-11,Aluguel,Comercial,Fixa,-2397.13
2020-08-12,Marketing,Comercial,Fixa,-438.47
2020-08-13,Pessoal,RH,Variável,-2007.14
2020-08-13,Infraestrutura,Comercial,Fixa,-2637.61
2020-08-14,Pessoal,Operacional,Fixa,-1729.79
2020-08-15,Serviços,Comercial,Fixa,-1639.85
2020-08-15,Pessoal,Comercial,Fixa,-1872.77
2020-08-16,Pessoal,Comercial,Fixa,-2540.56
2020-08-16,Aluguel,Comercial,Variável,-2496.95
2020-08-17,Marketing,Administrativo,Variável,-2943.72
2020-08-18,Marketing,RH,Variável,-3041.94
2020-08-19,Aluguel,Comercial,Variável,-2673.59
2020-08-20,Serviços,Operacional,Variável,-3038.73
2020-08-20,Pessoal,RH,Fixa,-2039.78
2020-08-20,Marketing,RH,Fixa,-1738.47
2020-08-21,Aluguel,Comercial,Fixa,-2768.05
2020-08-22,Aluguel,Administrativo,Variável,-2677.01
2020-08-22,Marketing,Administrativo,Variável,-3360.63
2020-08-22,Pessoal,Administrativo,Variável,-1733.03
2020-08-23,Aluguel,Comercial,Variável,-1416.01
2020-08-23,Aluguel,Operacional,Fixa,-2287.73
2020-08-24,Aluguel,Comercial,Variável,-2063.87
2020-08-24,Aluguel,Administrativo,Fixa,-2208.1
2020-08-24,Marketing,Operacional,Variável,-2451.76
2020-08-25,Serviços,Operacional,Fixa,-2720.78
2020-08-26,Infraestrutura,Administrativo,Fixa,-2574.06
2020-08-27,Infraestrutura,Operacional,Variável,-1853.12
2020-08-27,Serviços,Operacional,Fixa,-3028.22
2020-08-28,Serviços,Administrativo,Variável,-2223.83
2020-08-29,Serviços,Operacional,Variável,-2158.3
2020-08-29,Aluguel,Administrativo,Fixa,-2251.64
2020-08-29,Pessoal,Comercial,Fixa,-1664.58
2020-08-30,Aluguel,Administrativo,Fixa,-2713.4
2020-08-31,Marketing,Comercial,Variável,-709.6
2020-08-31,Serviços,Operacional,Variável,-3080.14
2020-08-31,Infraestrutura,RH,Variável,-869.2
2020-09-01,Infraestrutura,RH,Fixa,-1810.99
2020-09-02,Marketing,RH,Fixa,-1993.96
2020-09-03,Marketing,Comercial,Fixa,-1416.21
2020-09-03,Serviços,Administrativo,Fixa,-3351.56
2020-09-03,Serviços,Comercial,Variável,-3110.76
2020-09-04,Serviços,Operacional,Fixa,-3362.28
2020-09-05,Marketing,Administrativo,Fixa,-2230.43
2020-09-05,Aluguel,Administrativo,Fixa,-2535.38
2020-09-05,Infraestrutura,Administrativo,Variável,-3959.34
2020-09-06,Infraestrutura,Administrativo,Fixa,-3159.99
2020-09-06,Pessoal,Comercial,Variável,-1784.18
2020-09-07,Pessoal,RH,Fixa,-1369.49
2020-09-08,Pessoal,RH,Variável,-1878.09
2020-09-09,Infraestrutura,RH,Fixa,-2715.89
2020-09-10,Pessoal,Operacional,Variável,-1611.18
2020-09-11,Pessoal,Comercial,Fixa,-1780.77
2020-09-11,Aluguel,Comercial,Variável,-2349.12
2020-09-12,Serviços,Comercial,Fixa,-3151.2
2020-09-13,Aluguel,RH,Variável,-2299.6
2020-09-13,Aluguel,Comercial,Fixa,-2815.94
2020-09-14,Pessoal,Operacional,Fixa,-2680.69
2020-09-14,Serviços,Comercial,Variável,-2100.1
2020-09-15,Aluguel,Comercial,Fixa,-2906.87
2020-09-16,Infraestrutura,Comercial,Fixa,-3002.33
2020-09-17,Infraestrutura,RH,Variável,-715.07
2020-09-17,Infraestrutura,Operacional,Variável,-4452.69
2020-09-18,Marketing,Administrativo,Fixa,-2113.08
2020-09-19,Marketing,Administrativo,Variável,-754.98
2020-09-19,Marketing,Comercial,Fixa,-1967.64
2020-09-20,Infraestrutura,Operacional,Variável,-3520.13
2020-09-21,Marketing,Comercial,Fixa,-2012.01
2020-09-22,Marketing,RH,Fixa,-3791.33
2020-09-23,Infraestrutura,Operacional,Fixa,-2641.1
2020-09-24,Marketing,RH,Fixa,-1198.95
2020-09-24,Serviços,RH,Fixa,-3213.04
2020-09-25,Infraestrutura,Administrativo,Fixa,-2189.35
2020-09-25,Infraestrutura,Administrativo,Fixa,-482.74
2020-09-26,Serviços,Comercial,Fixa,-3227.39
2020-09-26,Aluguel,Comercial,Variável,-2729.37
2020-09-27,Marketing,Operacional,Variável,-1550.51
2020-09-27,Pessoal,Operacional,Fixa,-3014.44
2020-09-28,Aluguel,Operacional,Fixa,-2438.07
2020-09-28,Aluguel,Comercial,Fixa,-1765.84
2020-09-28,Serviços,RH,Fixa,-931.66
2020-09-29,Marketing,Operacional,Variável,-2601.73
2020-09-29,Pessoal,Operacional,Fixa,-2014.93
2020-09-30,Pessoal,Comercial,Fixa,-4330.64
2020-09-30,Marketing,Comercial,Variável,-3741.82
2020-09-30,Pessoal,Operacional,Variável,-1645.1
2020-10-01,Marketing,Comercial,Variável,-1289.71
2020-10-01,Pessoal,Administrativo,Variável,-1998.23
2020-10-01,Serviços,Comercial,Fixa,-1748.55
2020-10-02,Serviços,Comercial,Fixa,-3175.06
2020-10-03,Marketing,RH,Variável,-2221.32
2020-10-03,Serviços,Administrativo,Fixa,-1955.34
2020-10-04,Infraestrutura,Operacional,Fixa,-1534.84
2020-10-04,Serviços,Operacional,Fixa,-2612.03
2020-10-05,Aluguel,Operacional,Fixa,-2351.42
2020-10-06,Infraestrutura,Operacional,Variável,-2895.73
2020-10-07,Serviços,Comercial,Variável,-1606.81
2020-10-08,Aluguel,Operacional,Variável,-1982.12
2020-10-09,Aluguel,Administrativo,Fixa,-2003.92
2020-10-09,Pessoal,Operacional,Fixa,-2230.94
2020-10-10,Marketing,Administrativo,Fixa,-1410.86
2020-10-10,Marketing,RH,Fixa,-683.91
2020-10-11,Pessoal,Comercial,Variável,-3683.24
2020-10-11,Pessoal,Administrativo,Fixa,-1944.96
2020-10-12,Infraestrutura,Administrativo,Fixa,-3005.23
2020-10-13,Infraestrutura,Administrativo,Fixa,-2422.52
2020-10-14,Infraestrutura,Operacional,Fixa,-2624.75
